epd,posnum,complexity,move,top,score,depth,pv
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf -,1,2777,d2d4,1,19,23,d2d4 b7b5 c2c4 b5c4 d1e3 c7c5 c1c4
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf -,1,2777,b2b4,2,10,23,b2b4 b7b6 c2c4 c7c5 b4c5 b6c5 h2h4
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf -,1,2777,c2c4,4,10,23,c2c4 c7c5 h2h4 h7h5 b2b3 b7b6 h1h3
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf -,1,2777,b2b3,3,8,23,b2b3 c7c5
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf -,1,2777,h2h4,5,8,23,h2h4 c7c5 c2c4 h7h5 b2b3 b7b6 h1h3
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf -,2,264,c2c4,1,24,24,c2c4 c7c5 b2b4 c5b4 b1b4 b7b6 d2d3
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf -,2,264,b2b4,2,22,24,b2b4 b7b5 d2d3 d7d6 e2e4 e7e5 c1b3
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf -,2,264,d2d3,3,20,24,d2d3 b7b5 b2b4 d7d6 e2e4 e7e5 c1b3
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf -,2,264,h2h4,5,14,24,h2h4 b7b5 b2b4 h7h5 e2e3 e7e6 e1f3
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf -,2,264,e2e3,4,10,24,e2e3 b7b5 b2b4 h7h5 h2h4 e7e6 e1f3
bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w HEhe -,3,470,b2b4,1,37,25,b2b4
bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w HEhe -,3,470,e2e4,2,32,25,e2e4 e7e5 h2h4 h7h5 b2b4 b7b5 a2a3
