uid,event,site,date,round,wplayer,bplayer,result,welo,belo,variant,start_fen,epd,ply,player,turn,complexity,gmove,gscore,emove,escore,cploss,wpc_value,bpc_value,tpc_value,wp_cnt,bp_cnt,emt_sec,clk_sec
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w KQkq -,0,"Abdusattorov, Nodirbek",white,930,e2e4,20,g1h3,29,9,32,32,64,8,8,34,5366
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqknr/pppppppp/8/8/4P3/8/PPPP1PPP/BRNBQKNR b KQkq -,1,"Ding, Liren",black,512,b7b5,-27,g8h6,-18,9,32,32,64,8,8,258,5142
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqknr/p1pppppp/8/1p6/4P3/8/PPPP1PPP/BRNBQKNR w KQkq -,2,"Abdusattorov, Nodirbek",white,794,b2b4,28,b2b4,28,0,32,32,64,8,8,152,5214
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqknr/p1pppppp/8/1p6/1P2P3/8/P1PP1PPP/BRNBQKNR b KQkq -,3,"Ding, Liren",black,979,g8f6,-67,g8h6,-13,54,32,32,64,8,8,125,5017
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1pppppp/5n2/1p6/1P2P3/8/P1PP1PPP/BRNBQKNR w KQkq -,4,"Abdusattorov, Nodirbek",white,270,d2d3,82,d2d3,82,0,32,32,64,8,8,131,5083
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1pppppp/5n2/1p6/1P2P3/3P4/P1P2PPP/BRNBQKNR b KQkq -,5,"Ding, Liren",black,395,e7e5,-91,f8h8,-74,17,32,32,64,8,8,576,4441
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1pp1ppp/5n2/1p2p3/1P2P3/3P4/P1P2PPP/BRNBQKNR w KQkq -,6,"Abdusattorov, Nodirbek",white,177,g1h3,67,f2f4,96,29,32,32,64,8,8,11,5072
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1pp1ppp/5n2/1p2p3/1P2P3/3P3N/P1P2PPP/BRNBQK1R b KQkq -,7,"Ding, Liren",black,1125,d7d5,-66,d7d6,-66,0,32,32,64,8,8,393,4048
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1p2ppp/5n2/1p1pp3/1P2P3/3P3N/P1P2PPP/BRNBQK1R w KQkq -,8,"Abdusattorov, Nodirbek",white,497,e4d5,65,f2f4,65,0,32,32,64,8,8,173,4899
Abdusattorov_ Nodirbek-Ding_ Liren-Freestyle_Chess_G.O.A.T._Challenge-2024.02.11-round_1.1-1-0,Freestyle Chess G.O.A.T. Challenge,"Weissenhaus, Germany",2024.02.11,1.1,"Abdusattorov, Nodirbek","Ding, Liren",1-0,2744,2762,Standard,brnbqknr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQKNR w HBhb - 0 1,brnbqk1r/p1p2ppp/5n2/1p1Pp3/1P6/3P3N/P1P2PPP/BRNBQK1R b KQkq -,9,"Ding, Liren",black,1407,f6d5,-76,f6d5,-76,0,32,32,64,8,7,184,3864
